sk_local,uf,municipio,br,km,regional,delegacia,uop
2234,TO,ALIANCA DO TOCANTINS,153,636.0,SPRF-TO,DEL01-TO,UOP02-DEL01-TO
2235,MG,SAO GONCALO DO ABAETE,365,0.0,SPRF-MG,DEL10-MG,UOP02-DEL010-MG
2236,PB,SANTA RITA,230,0.0,SPRF-PB,DEL01-PB,UOP02-DEL01-PB
2237,BA,ITAMARAJU,101,818.0,SPRF-BA,DEL09-BA,UOP01-DEL09-BA
2238,GO,CAIAPONIA,158,198.0,SPRF-GO,DEL05-GO,UOP01-DEL05-GO
2239,MT,SORRISO,163,749.0,SPRF-MT,DEL06-MT,UOP01-DEL06-MT
2240,SC,MAFRA,280,0.0,SPRF-SC,DEL06-SC,UOP01-DEL06-SC
2241,PA,ITAITUBA,163,428.0,SPRF-PA,DEL05-PA,UOP03-DEL05-PA
2242,SC,ITAPEMA,101,143.0,SPRF-SC,DEL04-SC,UOP03-DEL04-SC
2243,PR,MANDAGUARI,376,0.0,SPRF-PR,DEL09-PR,UOP01-DEL09-PR
2244,MS,BRASILANDIA,158,348.0,SPRF-MS,DEL07-MS,UOP01-DEL07-MS
2245,MG,ROMARIA,365,538.0,SPRF-MG,DEL10-MG,UOP01-DEL10-MG
2246,MG,TEOFILO OTONI,116,240.0,SPRF-MG,DEL11-MG,UOP01-DEL11-MG
2247,PB,SUME,412,0.0,SPRF-PB,DEL02-PB,UOP02-DEL02-PB
2248,SP,BARRA DO TURVO,116,538.0,SPRF-SP,DEL05-SP,UOP02-DEL05-SP
2249,SP,MIRACATU,116,0.0,SPRF-SP,DEL04-SP,UOP03-DEL04-SP
2250,MA,CAPINZAL DO NORTE,135,0.0,SPRF-MA,DEL03-MA,UOP01-DEL03-MA
2251,MS,IVINHEMA,376,0.0,SPRF-MS,DEL04-MS,UOP04-DEL04-MS
2252,BA,IBITIARA,242,472.0,SPRF-BA,DEL06-BA,UOP01-DEL06-BA
2253,GO,COCALZINHO DE GOIAS,414,324.0,SPRF-GO,DEL02-GO,UOP01-DEL02-GO
2254,PR,GENERAL CARNEIRO,153,494.0,SPRF-PR,DEL02-PR,UOP03-DEL02-PR
2255,RJ,NOVA IGUACU,116,187.0,SPRF-RJ,DEL06-RJ,UOP01-DEL06-RJ
2256,PR,TIBAGI,376,0.0,SPRF-PR,DEL03-PR,UOP04-DEL03-PR
2257,SC,PONTE ALTA,470,0.0,SPRF-SC,DEL05-SC,UOP03-DEL05-SC
2258,MG,RESSAQUINHA,40,687.0,SPRF-MG,DEL05-MG,UOP02-DEL05-MG
2259,MG,RIO MANSO,381,532.0,SPRF-MG,DEL04-MG,UOP03-DEL04-MG
2260,SC,CAPAO ALTO,116,0.0,SPRF-SC,DEL05-SC,UOP02-DEL05-SC
2261,PE,IGARASSU,101,46.0,SPRF-PE,DEL01-PE,UOP02-DEL01-PE
2262,RS,GRAVATAI,290,80.0,SPRF-RS,DEL01-RS,UOP01-DEL01-RS
2263,RJ,PETROPOLIS,40,78.0,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
2264,MG,INHAPIM,116,0.0,SPRF-MG,DEL06-MG,UOP02-DEL06-MG
2265,RN,NATAL,101,99.0,SPRF-RN,DEL01-RN,UOP01-DEL01-RN
2266,ES,MARECHAL FLORIANO,262,0.0,SPRF-ES,DEL01-ES,UOP02-DEL01-ES
2267,BA,OLIVEIRA DOS BREJINHOS,242,578.0,SPRF-BA,DEL06-BA,UOP03-DEL06-BA
2268,SC,BIGUACU,101,0.0,SPRF-SC,DEL01-SC,UOP01-DEL01-SC
2269,AC,RIO BRANCO,364,136.0,SPRF-AC,DEL01-AC,UOP01-DEL01-AC
2270,PR,IMBAU,376,0.0,SPRF-PR,DEL07-PR,UOP02-DEL07-PR
2271,TO,PALMEIRANTE,153,225.0,SPRF-TO,DEL02-TO,UOP01-DEL02-TO
2272,BA,JAGUAQUARA,116,632.0,SPRF-BA,DEL03-BA,UOP01-DEL03-BA
2273,DF,BRASILIA,20,45.0,SPRF-DF,DEL02-DF,UOP01-DEL02-DF
2274,SC,TIJUCAS,101,0.0,SPRF-SC,DEL04-SC,UOP03-DEL04-SC
2275,SC,SAO JOSE,101,199.0,SPRF-SC,DEL01-SC,UOP01-DEL01-SC
2276,ES,CONCEICAO DA BARRA,101,42.0,SPRF-ES,DEL04-ES,UOP02-DEL04-ES
2277,SP,SAO JOSE DO RIO PRETO,153,61.0,SPRF-SP,DEL09-SP,UOP01-DEL09-SP
2278,BA,FORMOSA DO RIO PRETO,135,56.0,SPRF-BA,DEL10-BA,UOP01-DEL10-BA
2279,SC,SANTO AMARO DA IMPERATRIZ,282,0.0,SPRF-SC,DEL01-SC,UOP03-DEL01-SC
2280,SC,ITAJAI,101,121.0,SPRF-SC,DEL04-SC,UOP04-DEL04-SC
2281,MG,ITAGUARA,381,0.0,SPRF-MG,DEL04-MG,UOP01-DEL04-MG
2282,SE,UMBAUBA,101,0.0,SPRF-SE,DEL02-SE,UOP03-DEL02-SE
2283,BA,JAGUARARI,407,0.0,SPRF-BA,DEL04-BA,UOP01-DEL04-BA
2284,BA,FEIRA DE SANTANA,324,1.0,SPRF-BA,DEL02-BA,UOP01-DEL02-BA
2285,GO,MORRINHOS,153,647.0,SPRF-GO,DEL03-GO,UOP01-DEL03-GO
2286,PR,LARANJEIRAS DO SUL,277,0.0,SPRF-PR,DEL04-PR,UOP02-DEL04-PR
2287,BA,JUAZEIRO,235,308.0,SPRF-BA,DEL07-BA,UOP03-DEL07-BA
2288,CE,IPAUMIRIM,116,0.0,SPRF-CE,DEL05-CE,UOP01-DEL05-CE
2289,PR,SAO JOSE DOS PINHAIS,116,96.0,SPRF-PR,DEL01-PR,UOP07-DEL01-PR
2290,RJ,PETROPOLIS,40,84.0,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
2291,RS,ARROIO GRANDE,116,575.0,SPRF-RS,DEL07-RS,UOP03-DEL07-RS
2292,RJ,MACAE,101,148.0,SPRF-RJ,DEL08-RJ,UOP04-DEL08-RJ
2293,SC,SAO JOSE,101,204.0,SPRF-SC,DEL01-SC,UOP01-DEL01-SC
2294,MT,CANARANA,158,490.0,SPRF-MT,DEL07-MT,UOP02-DEL07-MT
2295,RO,PORTO VELHO,319,144.0,SPRF-RO,DEL01-RO,UOP01-DEL01-RO
2296,MS,NOVA ALVORADA DO SUL,267,0.0,SPRF-MS,DEL02-MS,UOP01-DEL02-MS
2297,RO,OURO PRETO DO OESTE,364,380.0,SPRF-RO,DEL02-RO,UOP01-DEL02-RO
2298,PR,TOLEDO,163,0.0,SPRF-PR,DEL04-PR,UOP01-DEL04-PR
2299,RN,SAO JOSE DE MIPIBU,101,124.0,SPRF-RN,DEL01-RN,UOP01-DEL01-RN
2300,RN,AUGUSTO SEVERO,226,288.0,SPRF-RN,DEL03-RN,UOP01-DEL03-RN
2301,SP,MAIRIPORA,381,60.0,SPRF-SP,DEL03-SP,UOP01-DEL03-SP
2302,PR,LONDRINA,369,147.0,SPRF-PR,DEL07-PR,UOP01-DEL07-PR
2303,CE,TIANGUA,222,301.0,SPRF-CE,DEL04-CE,UOP02-DEL04-CE
2304,PE,TIMBAUBA,408,16.0,SPRF-PE,DEL01-PE,UOP01-DEL01-PE
2305,MG,IGARAPE,381,512.0,SPRF-MG,DEL01-MG,UOP03-DEL01-MG
2306,RN,JANDAIRA,406,55.0,SPRF-RN,DEL02-RN,UOP01-DEL02-RN
2307,RN,MOSSORO,304,30.0,SPRF-RN,DEL04-RN,UOP02-DEL04-RN
2308,RO,NOVA MAMORE,425,78.0,SPRF-RO,DEL01-RO,UOP03-DEL01-RO
2309,RS,PORTO ALEGRE,290,96.0,SPRF-RS,DEL01-RS,UOP01-DEL01-RS
2310,MG,MEDINA,116,0.0,SPRF-MG,DEL11-MG,UOP02-DEL11-MG
2311,RS,OSORIO,101,74.0,SPRF-RS,DEL03-RS,UOP01-DEL03-RS
2312,RJ,TANGUA,101,277.0,SPRF-RJ,DEL02-RJ,UOP03-DEL02-RJ
2313,AL,SAO JOSE DA LAJE,104,0.0,SPRF-AL,DEL01-AL,UOP02-DEL01-AL
2314,BA,FEIRA DE SANTANA,324,516.0,SPRF-BA,DEL02-BA,UOP01-DEL02-BA
2315,BA,ANTONIO CARDOSO,116,0.0,SPRF-BA,DEL02-BA,UOP01-DEL02-BA
2316,GO,ITUMBIARA,153,702.0,SPRF-GO,DEL03-GO,UOP02-DEL03-GO
2317,MS,ITAQUIRAI,163,0.0,SPRF-MS,DEL09-MS,UOP02-DEL09-MS
2318,SC,PINHALZINHO,282,0.0,SPRF-SC,DEL07-SC,UOP02-DEL07-SC
2319,SC,PAPANDUVA,116,0.0,SPRF-SC,DEL06-SC,UOP02-DEL06-SC
2320,MT,LUCAS DO RIO VERDE,163,688.0,SPRF-MT,DEL06-MT,UOP01-DEL06-MT
2321,PR,IRATI,277,272.0,SPRF-PR,DEL08-PR,UOP02-DEL08-PR
2322,PR,LARANJEIRAS DO SUL,277,472.0,SPRF-PR,DEL04-PR,UOP02-DEL04-PR
2323,CE,BREJO SANTO,116,0.0,SPRF-CE,DEL05-CE,UOP03-DEL05-CE
2324,TO,MIRANORTE,153,402.0,SPRF-TO,DEL02-TO,UOP02-DEL02-TO
2325,MG,CARMOPOLIS DE MINAS,381,0.0,SPRF-MG,DEL04-MG,UOP01-DEL04-MG
2326,GO,CRISTALINA,40,143.0,SPRF-DF,DEL01-DF,UOP02-DEL01-DF
2327,PR,GUARAPUAVA,277,373.0,SPRF-PR,DEL08-PR,UOP01-DEL08-PR
2328,SP,VARGEM,381,6.0,SPRF-SP,DEL03-SP,UOP02-DEL03-SP
2329,RO,CANDEIAS DO JAMARI,364,689.0,SPRF-RO,DEL01-RO,UOP01-DEL01-RO
2330,DF,BRASILIA,251,51.0,SPRF-DF,DEL01-DF,UOP01-DEL01-DF
2331,SC,ICARA,101,0.0,SPRF-SC,DEL02-SC,UOP02-DEL02-SC
2332,MG,PRATA,153,95.0,SPRF-MG,DEL15-MG,UOP03-DEL15-MG
2333,RJ,PORTO REAL,116,300.0,SPRF-RJ,DEL07-RJ,UOP02-DEL07-RJ
2334,RO,CANDEIAS DO JAMARI,364,681.0,SPRF-RO,DEL01-RO,UOP01-DEL01-RO
2335,SP,GUARULHOS,381,89.0,SPRF-SP,DEL03-SP,UOP01-DEL03-SP
2336,AL,PORTO REAL DO COLEGIO,101,0.0,SPRF-AL,DEL02-AL,UOP02-DEL02-AL
2337,RJ,CAMPOS DOS GOYTACAZES,101,62.0,SPRF-RJ,DEL08-RJ,UOP01-DEL08-RJ
2338,TO,ARAGUAINA,153,138.0,SPRF-TO,DEL02-TO,UOP01-DEL02-TO
2339,PR,MATELANDIA,277,659.0,SPRF-PR,DEL05-PR,UOP02-DEL05-PR
2340,RS,SANTA MARIA,158,0.0,SPRF-RS,DEL09-RS,UOP01-DEL09-RS
2341,MG,GOVERNADOR VALADARES,116,403.0,SPRF-MG,DEL06-MG,UOP01-DEL06-MG
2342,GO,URUACU,153,226.0,SPRF-GO,DEL07-GO,UOP02-DEL07-GO
2343,MG,MOEDA,40,591.0,SPRF-MG,DEL01-MG,UOP02-DEL01-MG
2344,MS,CAMPO GRANDE,163,473.0,SPRF-MS,DEL01-MS,UOP01-DEL01-MS
2345,MS,TRES LAGOAS,158,296.0,SPRF-MS,DEL07-MS,UOP01-DEL07-MS
2346,RJ,SAO GONCALO,101,309.0,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ
2347,GO,RIO VERDE,60,356.0,SPRF-GO,DEL04-GO,UOP02-DEL04-GO
2348,MT,ITIQUIRA,163,0.0,SPRF-MT,DEL02-MT,UOP03-DEL02-MT
2349,CE,MILAGRES,116,483.0,SPRF-CE,DEL05-CE,UOP03-DEL05-CE
2350,CE,MILAGRES,116,0.0,SPRF-CE,DEL05-CE,UOP03-DEL05-CE
2351,SC,PAPANDUVA,116,49.0,SPRF-SC,DEL06-SC,UOP01-DEL06-SC
2352,BA,MUQUEM DE SAO FRANCISCO,242,612.0,SPRF-BA,DEL10-BA,UOP01-DEL10-BA
2353,BA,LUIS EDUARDO MAGALHAES,20,197.0,SPRF-BA,DEL10-BA,UOP01-DEL10-BA
2354,PR,TOLEDO,163,0.0,SPRF-PR,DEL06-PR,UOP02-DEL06-PR
2355,SC,MARAVILHA,282,0.0,SPRF-SC,DEL07-SC,UOP02-DEL07-SC
2356,SC,MAFRA,116,12.0,SPRF-SC,DEL06-SC,UOP01-DEL06-SC
2357,PE,PALMARES,101,189.0,SPRF-PE,DEL01-PE,UOP03-DEL01-PE
2358,PR,GUAIRA,163,335.0,SPRF-PR,DEL06-PR,UOP01-DEL06-PR
2359,AP,PORTO GRANDE,210,144.0,SPRF-AP,DEL01-AP,UOP01-DEL01-AP
2360,RS,TRES FORQUILHAS,101,40.0,SPRF-RS,DEL03-RS,UOP02-DEL03-RS
2361,RO,JARU,364,430.0,SPRF-RO,DEL03-RO,UOP02-DEL03-RO
2362,MA,ACAILANDIA,10,305.0,SPRF-MA,DEL04-MA,UOP03-DEL04-MA
2363,PR,GUARAPUAVA,277,345.0,SPRF-PR,DEL08-PR,UOP01-DEL08-PR
2364,ES,SERRA,101,0.0,SPRF-ES,DEL04-ES,UOP02-DEL04-ES
2365,GO,PROFESSOR JAMIL,153,556.0,SPRF-GO,DEL03-GO,UOP01-DEL03-GO
2366,SC,SANGAO,101,0.0,SPRF-SC,DEL02-SC,UOP01-DEL02-SC
2367,RS,SANTO ANTONIO DA PATRULHA,290,38.0,SPRF-RS,DEL03-RS,UOP01-DEL03-RS
2368,PE,BELO JARDIM,232,172.0,SPRF-PE,DEL03-PE,UOP02-DEL03-PE
2369,SE,ITAPORANGA DAJUDA,101,127.0,SPRF-SE,DEL02-SE,UOP01-DEL02-SE
2370,RJ,PETROPOLIS,40,0.0,SPRF-RJ,DEL05-RJ,UOP02-DEL05-RJ
2371,AL,RIO LARGO,101,0.0,SPRF-AL,DEL01-AL,UOP01-DEL01-AL
2372,TO,BARROLANDIA,153,448.0,SPRF-TO,DEL01-TO,UOP01-DEL01-TO
2373,SC,RIO DO SUL,470,133.0,SPRF-SC,DEL04-SC,UOP02-DEL04-SC
2374,BA,WENCESLAU GUIMARAES,101,354.0,SPRF-BA,DEL05-BA,UOP03-DEL05-BA
2375,RJ,PETROPOLIS,40,76.0,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
2376,ES,FUNDAO,101,0.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2377,RS,CAMAQUA,116,411.0,SPRF-RS,DEL02-RS,UOP02-DEL02-RS
2378,RJ,ITABORAI,101,297.0,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ
2379,TO,MIRANORTE,153,414.0,SPRF-TO,DEL02-TO,UOP02-DEL02-TO
2380,SP,CACAPAVA,116,126.0,SPRF-SP,DEL02-SP,UOP02-DEL02-SP
2381,RO,PIMENTA BUENO,364,190.0,SPRF-RO,DEL02-RO,UOP02-DEL02-RO
2382,GO,ALEXANIA,60,39.0,SPRF-DF,DEL03-DF,UOP01-DEL03-DF
2383,RJ,ITABORAI,493,5.0,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ
2384,PR,SANTO ANTONIO DA PLATINA,153,41.0,SPRF-PR,DEL07-PR,UOP04-DEL07-PR
2385,RS,URUGUAIANA,290,676.0,SPRF-RS,DEL13-RS,UOP01-DEL13-RS
2386,MS,SIDROLANDIA,60,0.0,SPRF-MS,DEL01-MS,UOP04-DEL01-MS
