sk,id_natural,regional,dt_inicio,dt_fim,flag_atual
105,VILHENA,SPRF-RO,2026-01-01,,True
106,ITAPORANGA DAJUDA,SPRF-SE,2026-01-01,,True
107,FOZ DO IGUACU,SPRF-PR,2026-01-01,,True
108,SAO GABRIEL DO OESTE,SPRF-MS,2026-01-01,,True
109,JEQUIE,SPRF-BA,2026-01-01,,True
110,BETIM,SPRF-MG,2026-01-01,,True
111,CURITIBA,SPRF-PR,2026-01-01,,True
112,CEU AZUL,SPRF-PR,2026-01-01,,True
113,SAO GONCALO,SPRF-RJ,2026-01-01,,True
114,PARNAMIRIM,SPRF-RN,2026-01-01,2026-06-26,False
115,JUATUBA,SPRF-MG,2026-01-01,,True
116,CAMPOS NOVOS PAULISTA,SPRF-SP,2026-01-01,,True
117,JOINVILLE,SPRF-SC,2026-01-01,,True
118,SAO SEBASTIAO,SPRF-AL,2026-01-01,,True
119,CAMPO VERDE,SPRF-MT,2026-01-01,,True
120,PEDRA PRETA,SPRF-MT,2026-01-01,,True
121,FEIRA DE SANTANA,SPRF-BA,2026-01-01,,True
122,ARAUCARIA,SPRF-PR,2026-01-01,,True
123,CAMAQUA,SPRF-RS,2026-01-01,,True
124,ERECHIM,SPRF-RS,2026-01-01,,True
125,PORTO SEGURO,SPRF-BA,2026-01-01,,True
126,VALPARAISO DE GOIAS,SPRF-DF,2026-01-01,,True
127,NOVA UNIAO,SPRF-MG,2026-01-01,,True
128,COXIM,SPRF-MS,2026-01-01,,True
129,PRESIDENTE KENNEDY,SPRF-TO,2026-01-01,,True
130,NOVA LARANJEIRAS,SPRF-PR,2026-01-01,,True
131,GUARATINGUETA,SPRF-SP,2026-01-01,,True
132,RONDON DO PARA,SPRF-PA,2026-01-01,,True
133,DOM EXPEDITO LOPES,SPRF-PI,2026-01-01,,True
134,VERANOPOLIS,SPRF-RS,2026-01-01,,True
135,RECIFE,SPRF-PE,2026-01-01,,True
136,SENADOR ELOI DE SOUZA,SPRF-RN,2026-01-01,,True
137,CASIMIRO DE ABREU,SPRF-RJ,2026-01-01,,True
138,FORMOSA,SPRF-DF,2026-01-01,,True
139,PASSO FUNDO,SPRF-RS,2026-01-01,,True
140,PARANAGUA,SPRF-PR,2026-01-01,,True
141,SARANDI,SPRF-RS,2026-01-01,2026-06-26,False
142,EUNAPOLIS,SPRF-BA,2026-01-01,,True
143,SAO BENTO DO SUL,SPRF-SC,2026-01-01,,True
144,CAJATI,SPRF-SP,2026-01-01,,True
145,IBATIBA,SPRF-ES,2026-01-01,,True
146,ATILIO VIVACQUA,SPRF-ES,2026-01-01,,True
147,RIO NOVO DO SUL,SPRF-ES,2026-01-01,,True
148,GENERAL CARNEIRO,SPRF-MT,2026-01-01,2026-06-26,False
149,NOSSA SENHORA DO SOCORRO,SPRF-SE,2026-01-01,,True
150,ORTIGUEIRA,SPRF-PR,2026-01-01,,True
151,CAUCAIA,SPRF-CE,2026-01-01,,True
152,CAMPOS DOS GOYTACAZES,SPRF-RJ,2026-01-01,,True
153,PARNAIBA,SPRF-PI,2026-01-01,,True
154,REDUTO,SPRF-MG,2026-01-01,,True
155,COLINAS DO TOCANTINS,SPRF-TO,2026-01-01,,True
156,CAMPO MOURAO,SPRF-PR,2026-01-01,,True
157,IRANI,SPRF-SC,2026-01-01,,True
158,CORUMBA DE GOIAS,SPRF-GO,2026-01-01,,True
159,ARAGUARI,SPRF-MG,2026-01-01,,True
160,LEOPOLDINA,SPRF-MG,2026-01-01,,True
161,MIRACATU,SPRF-SP,2026-01-01,,True
162,POUSO ALTO,SPRF-MG,2026-01-01,,True
163,CANDEIAS DO JAMARI,SPRF-RO,2026-01-01,,True
164,MONSENHOR GIL,SPRF-PI,2026-01-01,,True
165,PARACATU,SPRF-MG,2026-01-01,,True
166,CANAPOLIS,SPRF-MG,2026-01-01,,True
167,VARZEA GRANDE,SPRF-MT,2026-01-01,,True
168,SAO LUIZ DO NORTE,SPRF-GO,2026-01-01,,True
169,ITAGUARA,SPRF-MG,2026-01-01,,True
170,SALVADOR,SPRF-BA,2026-01-01,,True
171,CARAPEBUS,SPRF-RJ,2026-01-01,,True
172,RIO BONITO,SPRF-RJ,2026-01-01,,True
173,PORANGATU,SPRF-GO,2026-01-01,,True
174,NATAL,SPRF-RN,2026-01-01,,True
175,RESSAQUINHA,SPRF-MG,2026-01-01,,True
176,TIJUCAS,SPRF-SC,2026-01-01,,True
177,CASCAVEL,SPRF-PR,2026-01-01,2026-06-26,False
178,CACHOEIRINHA,SPRF-PE,2026-01-01,2026-06-26,False
179,LAPA,SPRF-PR,2026-01-01,,True
180,EMBU DAS ARTES,SPRF-SP,2026-01-01,,True
181,VENTANIA,SPRF-PR,2026-01-01,,True
182,ANCHIETA,SPRF-ES,2026-01-01,,True
183,SAO JOSE DO HERVAL,SPRF-RS,2026-01-01,,True
184,JACAREZINHO,SPRF-PR,2026-01-01,,True
185,DOM ELISEU,SPRF-PA,2026-01-01,,True
186,PALMEIRAS DO TOCANTINS,SPRF-TO,2026-01-01,,True
187,MARINGA,SPRF-PR,2026-01-01,,True
188,UBIRATA,SPRF-PR,2026-01-01,,True
189,PALMEIRA,SPRF-PR,2026-01-01,,True
190,SOORETAMA,SPRF-ES,2026-01-01,,True
191,QUIJINGUE,SPRF-BA,2026-01-01,,True
192,CATOLANDIA,SPRF-BA,2026-01-01,,True
193,MUNDO NOVO,SPRF-MS,2026-01-01,,True
194,CRISTINAPOLIS,SPRF-SE,2026-01-01,,True
195,SANTA CECILIA,SPRF-SC,2026-01-01,,True
196,ESPLANADA,SPRF-SE,2026-01-01,,True
197,MATIAS BARBOSA,SPRF-MG,2026-01-01,,True
198,JACIARA,SPRF-MT,2026-01-01,,True
199,VITORIA DO MEARIM,SPRF-MA,2026-01-01,,True
200,GARIBALDI,SPRF-RS,2026-01-01,,True
201,CACEQUI,SPRF-RS,2026-01-01,,True
202,MAGE,SPRF-RJ,2026-01-01,,True
203,JARU,SPRF-RO,2026-01-01,,True
204,MUITOS CAPOES,SPRF-RS,2026-01-01,,True
205,CALIFORNIA,SPRF-PR,2026-01-01,,True
206,SAPUCAIA,SPRF-RJ,2026-01-01,,True
207,PETROPOLIS,SPRF-RJ,2026-01-01,,True
208,CARIACICA,SPRF-ES,2026-01-01,,True
209,BELEM DE SAO FRANCISCO,SPRF-PE,2026-01-01,,True
210,TIMON,SPRF-MA,2026-01-01,,True
211,ITAGIMIRIM,SPRF-BA,2026-01-01,,True
212,RODEIO,SPRF-SC,2026-01-01,,True
213,POCOES,SPRF-BA,2026-01-01,,True
214,PAUDALHO,SPRF-PE,2026-01-01,,True
215,MUCURI,SPRF-BA,2026-01-01,,True
216,BARBACENA,SPRF-MG,2026-01-01,,True
217,RIO BRANCO,SPRF-AC,2026-01-01,,True
218,UBERABA,SPRF-MG,2026-01-01,,True
219,ENTRE RIOS,SPRF-BA,2026-01-01,,True
220,BALNEARIO CAMBORIU,SPRF-SC,2026-01-01,,True
221,SAO JOAO DE MERITI,SPRF-RJ,2026-01-01,,True
222,BOA NOVA,SPRF-BA,2026-01-01,,True
223,SATUBA,SPRF-AL,2026-01-01,,True
224,CUIABA,SPRF-MT,2026-01-01,,True
225,CACOAL,SPRF-RO,2026-01-01,,True
226,TEODORO SAMPAIO,SPRF-BA,2026-01-01,,True
227,CARMO DA CACHOEIRA,SPRF-MG,2026-01-01,,True
228,SANTA ISABEL,SPRF-SP,2026-01-01,,True
229,GUARATUBA,SPRF-PR,2026-01-01,,True
230,PARAIBA DO SUL,SPRF-RJ,2026-01-01,,True
231,UBERLANDIA,SPRF-MG,2026-01-01,,True
232,SETE LAGOAS,SPRF-MG,2026-01-01,,True
233,ARACRUZ,SPRF-ES,2026-01-01,,True
234,AURELINO LEAL,SPRF-BA,2026-01-01,,True
235,FRUTAL,SPRF-MG,2026-01-01,,True
236,BARAO DE GRAJAU,SPRF-PI,2026-01-01,,True
237,POSSE,SPRF-DF,2026-01-01,,True
238,CATANDUVAS,SPRF-SC,2026-01-01,2026-06-26,False
239,CARAVELAS,SPRF-BA,2026-01-01,,True
240,OURICURI,SPRF-PE,2026-01-01,,True
241,NOVO PROGRESSO,SPRF-MT,2026-01-01,2026-06-26,False
242,ILHOTA,SPRF-SC,2026-01-01,,True
243,COLATINA,SPRF-ES,2026-01-01,,True
244,BLUMENAU,SPRF-SC,2026-01-01,,True
